Customer ID,Count,Gender,Age,Under 30,Senior Citizen,Married,Dependents,Number of Dependents
1746-TGTWV,1.0,Male,78.0,No,Yes,No,No,0.0
8499-BRXTD,1.0,Female,74.0,No,Yes,Yes,,1.0
2041-JIJCI,1.0,Male,71.0,No,Yes,No,Yes,3.0
5832-EXGTT,1.0,Female,78.0,No,Yes,Yes,Yes,1.0
8350-NYMVI,,,80.0,No,Yes,,Yes,1.0
7284-BUYEC,1.0,Female,72.0,,Yes,,Yes,
3458-IDMFK,1.0,Female,76.0,No,Yes,Yes,,
3709-OIJEA,,Male,66.0,No,Yes,Yes,,0.0
5066-GFJMM,1.0,,70.0,No,,No,Yes,2.0
6648-INWPS,1.0,Female,78.0,No,Yes,,Yes,1.0
3196-NVXLZ,1.0,Male,65.0,,Yes,No,No,0.0
5939-SXWHM,1.0,Male,77.0,No,Yes,Yes,,0.0
1730-VFMWO,,Male,68.0,No,Yes,No,No,0.0
7037-MTYVW,,Female,68.0,,Yes,No,No,0.0
6463-HHXJR,1.0,Male,66.0,No,Yes,,No,0.0
4981-FLTMF,1.0,Male,,No,Yes,Yes,No,0.0
3522-CDKHF,1.0,Male,77.0,No,Yes,Yes,No,
9351-LZYGF,,Female,70.0,No,Yes,No,No,0.0
8999-XXGNS,1.0,Female,74.0,No,Yes,No,No,0.0
8443-WVPSS,1.0,Female,77.0,No,,No,No,0.0
9540-JYROE,1.0,Male,,No,Yes,Yes,No,0.0
4615-PIVVU,1.0,,79.0,No,Yes,Yes,No,0.0
7401-RUBNK,1.0,Female,66.0,No,Yes,Yes,,0.0
5701-GUXDC,1.0,Male,77.0,No,Yes,No,No,
9609-BENEA,1.0,Female,80.0,No,Yes,No,No,0.0
1723-HKXJQ,1.0,Female,77.0,No,Yes,No,No,0.0
0479-HMSWA,1.0,Female,77.0,No,Yes,No,No,0.0
0027-KWYKW,1.0,Female,72.0,No,Yes,Yes,,0.0
7750-EYXWZ,1.0,Female,80.0,No,Yes,Yes,No,0.0
3146-MSEGF,1.0,Female,68.0,No,,No,No,
7929-DMBCV,1.0,Male,75.0,No,,,No,0.0
3336-JORSO,1.0,Male,77.0,No,,Yes,No,0.0
3580-REOAC,1.0,Male,80.0,No,Yes,Yes,No,0.0
5614-DNZCE,1.0,,75.0,No,Yes,Yes,No,
4334-HOWRP,1.0,Female,74.0,No,Yes,No,No,0.0
2550-AEVRU,1.0,Male,76.0,No,Yes,No,No,0.0
4906-ZHGPK,1.0,Male,69.0,No,Yes,,No,0.0
7207-RMRDB,1.0,Male,72.0,No,Yes,Yes,No,0.0
1591-XWLGB,1.0,Female,69.0,No,Yes,No,No,0.0
2424-WVHPL,1.0,Male,,No,,No,,
4342-HFXWS,1.0,Female,65.0,,Yes,No,No,0.0
1866-NXPSP,1.0,Male,74.0,No,Yes,Yes,No,0.0
2135-DQWAQ,1.0,Female,65.0,No,Yes,No,No,
8207-VVMYB,,Female,66.0,No,,No,No,0.0
7469-LKBCI,1.0,Male,,No,Yes,Yes,No,0.0
5016-ETTFF,1.0,Male,65.0,No,Yes,No,No,
9115-YQHGA,1.0,Male,69.0,No,Yes,No,No,0.0
5792-JALQC,1.0,Male,75.0,No,Yes,Yes,,0.0
8800-JOOCF,1.0,Female,,,,No,No,0.0
8883-ANODQ,1.0,Male,71.0,No,Yes,No,No,0.0
1023-BQXZE,1.0,Male,80.0,No,Yes,No,No,0.0
3722-WPXTK,1.0,Male,,No,,No,No,0.0
7596-IIWYC,,Male,73.0,No,Yes,Yes,No,0.0
3115-CZMZD,1.0,Male,77.0,No,Yes,,,
5590-YRFJT,1.0,Female,76.0,No,,Yes,No,0.0
4078-SAYYN,1.0,,65.0,No,Yes,,No,0.0
2884-GBPFB,,Male,75.0,No,Yes,,No,
0475-RIJEP,1.0,Male,75.0,No,Yes,No,No,0.0
4355-CVPVS,1.0,Female,68.0,No,Yes,Yes,,0.0
8883-GRDWQ,1.0,Female,71.0,No,Yes,No,No,0.0
1657-DYMBM,1.0,Male,77.0,No,Yes,No,No,0.0
1618-CFHME,1.0,,68.0,No,Yes,No,No,0.0
5130-IEKQT,1.0,Male,74.0,No,Yes,Yes,No,0.0
0848-ZGQIJ,1.0,Male,65.0,No,Yes,Yes,No,0.0
6674-KVJHG,1.0,Female,73.0,No,Yes,Yes,,0.0
1090-ESELR,1.0,Female,74.0,No,Yes,Yes,No,0.0
5286-YHCVC,,Male,,No,Yes,No,No,0.0
7839-NUIAA,1.0,Female,76.0,No,Yes,No,No,0.0
4163-KIUHY,1.0,Female,73.0,No,Yes,No,No,0.0
2212-LYASK,1.0,Female,70.0,No,,Yes,No,0.0
9823-EALYC,1.0,Male,75.0,No,Yes,Yes,No,0.0
5889-JTMUL,1.0,Male,74.0,No,Yes,Yes,No,0.0
2165-VOEGB,1.0,Male,76.0,No,,No,No,0.0
2612-PHGOX,1.0,Female,75.0,No,Yes,,No,
9227-YBAXE,1.0,Female,74.0,No,Yes,No,No,
7134-MJPDY,1.0,Female,73.0,No,Yes,No,No,0.0
7853-OETYL,1.0,Female,75.0,No,Yes,Yes,No,0.0
6242-MBHPK,,Female,65.0,No,Yes,No,No,0.0
1282-IHQAC,1.0,Female,77.0,No,Yes,No,No,0.0
6619-RPLQZ,1.0,Male,67.0,No,Yes,No,No,0.0
5982-FPVQN,1.0,,78.0,No,Yes,,No,0.0
5244-IRFIH,1.0,,65.0,,Yes,No,No,
2868-SNELZ,1.0,Male,70.0,No,Yes,No,No,0.0
3841-CONLJ,1.0,Male,69.0,No,,No,No,0.0
7511-YMXVQ,1.0,Female,76.0,No,Yes,,No,0.0
2229-VWQJH,1.0,Male,71.0,,Yes,No,No,0.0
7801-KICAO,1.0,Female,76.0,No,Yes,No,No,
0196-JTUQI,,Male,77.0,No,Yes,Yes,No,0.0
7124-UGSUR,1.0,,74.0,No,Yes,No,No,0.0
7605-BDWDC,1.0,Male,77.0,No,Yes,No,No,0.0
0014-BMAQU,1.0,Male,76.0,No,Yes,Yes,No,0.0
7248-VZQLC,1.0,Female,77.0,No,Yes,No,,0.0
4316-XCSLJ,1.0,Female,80.0,No,Yes,,No,0.0
4713-LZDRV,1.0,Male,68.0,No,Yes,No,No,0.0
4781-ZXYGU,1.0,Male,65.0,No,Yes,No,No,0.0
7572-KPVKK,1.0,Male,68.0,No,,No,No,0.0
7398-LXGYX,1.0,Female,72.0,No,Yes,No,No,0.0
0799-DDIHE,1.0,Female,66.0,No,Yes,No,No,0.0
9128-CPXKI,1.0,Male,68.0,No,Yes,No,,0.0
7594-LZNWR,1.0,Male,76.0,No,Yes,Yes,No,0.0
9122-UMROB,1.0,,70.0,No,Yes,Yes,,0.0
6557-BZXLQ,1.0,Male,71.0,No,Yes,,No,0.0
4727-MCYZG,,Male,75.0,No,,No,No,
0661-KBKPA,1.0,Female,67.0,No,Yes,No,,0.0
1544-JJMYL,1.0,Female,65.0,No,Yes,,No,0.0
6178-KFNHS,1.0,Female,80.0,No,Yes,No,No,0.0
0480-BIXDE,,Male,71.0,No,,Yes,No,0.0
6797-UCJHZ,1.0,Female,70.0,No,Yes,No,No,0.0
4791-QRGMF,1.0,Male,73.0,No,Yes,No,No,0.0
6979-TNDEU,1.0,Male,78.0,No,Yes,,No,0.0
1535-VTJOQ,1.0,Female,76.0,No,,,No,0.0
8241-JUIQO,1.0,Female,73.0,No,Yes,No,No,0.0
6754-WKSHP,1.0,Female,68.0,No,Yes,Yes,No,0.0
6954-OOYZZ,1.0,Male,79.0,No,,No,No,
7136-RVDTZ,1.0,Female,67.0,No,Yes,No,No,0.0
9693-XMUOB,1.0,Female,69.0,No,Yes,Yes,No,0.0
2455-USLMV,1.0,Female,72.0,No,Yes,No,No,0.0
9824-QCJPK,1.0,Male,75.0,No,Yes,Yes,No,0.0
0701-TJSEF,,Male,67.0,No,Yes,Yes,No,0.0
2075-PUEPR,1.0,Male,72.0,No,Yes,Yes,,0.0
4450-YOOHP,1.0,Female,68.0,No,Yes,No,No,0.0
3012-VFFMN,1.0,Female,68.0,No,Yes,No,No,
6077-BDPXA,1.0,,75.0,,,Yes,No,0.0
4821-WQOYN,1.0,Male,74.0,No,Yes,Yes,No,0.0
9786-YWNHU,1.0,Female,78.0,No,Yes,Yes,No,0.0
4177-JPDFU,1.0,,66.0,No,Yes,Yes,No,0.0
1101-SSWAG,1.0,Female,73.0,No,Yes,No,No,0.0
7609-YBPXG,,Male,79.0,No,Yes,,No,0.0
0282-NVSJS,,Male,69.0,No,Yes,Yes,No,0.0
1478-VPOAD,1.0,Female,65.0,No,Yes,Yes,No,0.0
6807-SIWJI,1.0,Female,68.0,No,Yes,No,No,0.0
6599-SFQVE,1.0,Female,79.0,No,,No,No,0.0
1157-BQCUW,1.0,Female,80.0,No,Yes,No,No,0.0
5117-IFGPS,1.0,,65.0,No,Yes,Yes,No,0.0
4816-LXZYW,1.0,Male,66.0,No,Yes,No,No,0.0
3411-WLRSQ,1.0,Male,,No,Yes,No,No,0.0
1335-MXCSE,1.0,Female,74.0,No,Yes,No,No,0.0
8024-XNAFQ,1.0,Female,80.0,No,Yes,No,No,
6519-ZHPXP,1.0,Male,74.0,No,Yes,No,No,0.0
5419-KLXBN,,Male,76.0,No,Yes,Yes,No,0.0
4104-PVRPS,1.0,Female,72.0,No,Yes,No,No,0.0
5032-USPKF,1.0,Female,,No,Yes,No,,0.0
2777-PHDEI,1.0,Male,75.0,No,Yes,No,No,0.0
7921-BEPCI,1.0,Male,65.0,No,Yes,Yes,No,0.0
2115-BFTIW,1.0,Male,79.0,No,Yes,No,No,0.0
8199-ZLLSA,1.0,Male,73.0,No,Yes,No,No,
3134-DSHVC,1.0,Male,79.0,No,Yes,No,No,0.0
3677-TNKIO,1.0,Female,70.0,No,Yes,Yes,,0.0
0774-IFUVM,1.0,Male,71.0,No,Yes,No,No,0.0
9948-YPTDG,1.0,Male,69.0,No,Yes,No,No,0.0
1150-WFARN,1.0,Female,,No,Yes,No,No,0.0
5567-GZKQY,1.0,Male,,No,Yes,Yes,No,0.0
7748-UMTRK,1.0,Male,67.0,,Yes,No,,0.0
6007-TCTST,1.0,Male,67.0,No,Yes,Yes,,0.0
6897-RWMUB,1.0,Female,69.0,No,Yes,No,No,0.0
7852-LECYP,1.0,,75.0,No,,No,No,0.0
4188-PCPIG,1.0,Male,67.0,,,,No,0.0
6308-CQRBU,1.0,,66.0,No,Yes,Yes,No,
1116-DXXDF,1.0,Female,,No,Yes,No,No,0.0
0594-UFTUL,1.0,,,No,Yes,Yes,No,
1088-CNNKB,1.0,Female,70.0,No,Yes,No,No,0.0
5440-VHLUL,1.0,Male,76.0,No,Yes,Yes,No,
9541-PWTWO,,,67.0,No,Yes,,No,0.0
8564-LDKFL,1.0,Male,80.0,No,Yes,No,No,
5808-TOTXO,1.0,Female,68.0,No,Yes,Yes,,0.0
6925-BAYGL,1.0,,80.0,No,Yes,No,,0.0
9938-EKRGF,1.0,Female,73.0,No,Yes,Yes,No,0.0
6898-MDLZW,1.0,Male,73.0,No,Yes,No,No,0.0
2982-IHMFT,1.0,Male,78.0,No,Yes,Yes,No,0.0
1228-FZFRV,1.0,Male,68.0,,Yes,,No,0.0
6407-UTSLV,1.0,Male,65.0,No,Yes,Yes,,0.0
8039-EQPIM,1.0,Male,67.0,No,Yes,No,No,0.0
4226-KKDON,,,70.0,No,Yes,No,No,0.0
4124-MMETB,1.0,,69.0,No,Yes,Yes,No,
6994-KERXL,1.0,Female,73.0,No,,No,No,0.0
1501-SGHBW,1.0,Male,74.0,No,,No,,
1422-DGUBX,1.0,Female,78.0,,Yes,No,No,0.0
2275-RBYQS,,Male,,No,Yes,Yes,No,0.0
7551-DACSP,,Female,78.0,,Yes,,No,0.0
9101-BWFSS,1.0,Female,75.0,No,Yes,No,,
2302-OUZXB,1.0,Female,75.0,No,Yes,,No,0.0
6784-XYJAE,1.0,Male,76.0,,Yes,No,,0.0
9696-RMYBA,1.0,Male,70.0,,Yes,Yes,No,0.0
5176-OLSKT,1.0,Male,67.0,No,Yes,Yes,,0.0
9626-VFRGG,1.0,Female,69.0,No,Yes,No,No,0.0
7883-ROJOC,1.0,Female,70.0,No,Yes,Yes,No,
2085-JVGAD,1.0,Male,74.0,No,Yes,Yes,No,0.0
1016-DJTSV,1.0,Female,77.0,,Yes,No,No,0.0
7593-JNWRU,1.0,Male,66.0,No,Yes,Yes,No,0.0
7270-BDIOA,1.0,Male,70.0,No,Yes,,No,0.0
1047-NNCBF,1.0,Female,68.0,No,Yes,No,No,0.0
5062-CJJKH,1.0,Female,,No,,No,No,0.0
6645-MXQJT,1.0,,,No,Yes,No,No,0.0
4702-HDRKD,,Male,73.0,No,Yes,No,,0.0
1430-SFQSA,1.0,,70.0,No,Yes,No,No,0.0
8067-NIOYM,1.0,Female,68.0,No,Yes,No,No,0.0
0582-AVCLN,1.0,Female,77.0,No,Yes,No,No,0.0
9971-ZWPBF,1.0,Female,,No,Yes,No,No,0.0
8421-WZOOW,1.0,Male,71.0,No,Yes,Yes,No,0.0
0495-ZBNGW,1.0,Male,69.0,No,Yes,Yes,No,0.0
5884-FBCTL,1.0,Male,80.0,No,,Yes,No,0.0
8200-KLNYW,1.0,Male,66.0,No,Yes,Yes,,0.0
6584-VQMYT,1.0,Male,79.0,,Yes,No,No,0.0
5843-TTHGI,1.0,Male,80.0,No,Yes,No,No,0.0
3729-OWRVL,1.0,Female,78.0,No,Yes,No,No,
2957-LOLHO,1.0,Female,67.0,No,Yes,Yes,,
6339-DKLMK,,Male,73.0,No,Yes,No,No,0.0
1135-LMECX,,Male,75.0,No,Yes,No,No,0.0
7180-PISOG,1.0,Male,67.0,,Yes,No,No,0.0
3137-LUPIX,1.0,Female,,,Yes,No,No,0.0
6952-OMNWB,1.0,Male,,,Yes,Yes,No,
4302-ZYFEL,1.0,Male,72.0,No,Yes,Yes,No,0.0
4077-CROMM,1.0,Female,70.0,No,Yes,Yes,No,
1596-BBVTG,1.0,Female,73.0,,,Yes,,0.0
7217-JYHOQ,1.0,Female,75.0,No,Yes,Yes,No,0.0
6086-ESGRL,1.0,Male,70.0,No,Yes,Yes,No,0.0
8884-FEEWR,,Female,77.0,No,,No,No,0.0
8755-OGKNA,,Female,78.0,No,Yes,No,,0.0
5501-TVMGM,1.0,Female,69.0,No,Yes,No,No,0.0
4138-NAXED,1.0,Male,,No,Yes,No,No,0.0
3061-BCKYI,1.0,Male,,No,Yes,No,No,0.0
3211-AAPKX,1.0,,71.0,No,Yes,,No,0.0
2778-OCLGR,,,71.0,No,Yes,,No,
7439-DKZTW,,,79.0,No,Yes,No,No,0.0
0354-WYROK,1.0,Female,,No,Yes,No,No,0.0
3778-FOAQW,1.0,Male,65.0,No,Yes,No,No,0.0
7766-CLTIC,1.0,Female,70.0,No,Yes,No,No,
3889-VWBID,1.0,,80.0,,Yes,Yes,,0.0
3976-NLDEZ,,Male,77.0,No,Yes,Yes,No,0.0
3181-MIZBN,1.0,Male,65.0,No,Yes,Yes,No,0.0
7602-MVRMB,1.0,Male,,No,,Yes,No,0.0
0396-UKGAI,1.0,Male,70.0,No,Yes,,No,0.0
2482-CZGBB,1.0,Female,69.0,No,Yes,No,No,0.0
7017-VFULY,1.0,Female,,No,Yes,,No,0.0
7032-LMBHI,1.0,,75.0,No,Yes,Yes,No,0.0
5707-ORNDZ,1.0,Female,67.0,No,Yes,No,No,0.0
8626-PTQGE,1.0,Female,74.0,No,Yes,No,No,0.0
0621-CXBKL,1.0,Female,74.0,No,Yes,No,No,
4598-ZADCK,1.0,,,No,Yes,Yes,,0.0
0942-KOWSM,1.0,Female,74.0,,Yes,Yes,No,0.0
0214-JHPFW,1.0,Female,69.0,No,Yes,Yes,No,0.0
9534-NSXEM,1.0,Female,79.0,No,Yes,,No,0.0
4090-KPJIP,1.0,Female,76.0,No,Yes,,No,0.0
6609-MXJHJ,1.0,Male,78.0,No,,Yes,No,0.0
1597-FZREH,1.0,Female,79.0,No,Yes,,No,0.0
1952-DVVSW,1.0,,74.0,No,Yes,Yes,No,0.0
2685-SREOM,1.0,Male,73.0,No,,,No,0.0
2007-QVGAW,1.0,Male,71.0,No,Yes,Yes,No,0.0
1583-IHQZE,1.0,Female,68.0,No,Yes,Yes,,
2696-NARTR,1.0,Female,70.0,No,Yes,No,No,
1472-TNCWL,1.0,,66.0,No,,No,No,0.0
1897-RCFUM,1.0,Male,,No,Yes,No,No,0.0
7321-ZNSLA,1.0,Male,78.0,No,Yes,No,No,0.0
8016-ZMGMO,1.0,Female,74.0,No,Yes,No,No,0.0
2869-ADAWR,1.0,,78.0,No,Yes,Yes,No,0.0
5472-CVMDX,1.0,,79.0,No,Yes,No,,
4816-OKWNX,1.0,,67.0,No,Yes,No,No,0.0
