Customer ID,Count,Country,State,City,Zip Code,Lat Long,Latitude,Longitude
1746-TGTWV,1.0,United States,California,Los Angeles,90022.0,"34.02381, -118.156582",34.02381,-118.156582
2041-JIJCI,1.0,United States,California,Los Angeles,,"34.108833, -118.229715",34.108833,-118.229715
5832-EXGTT,,,California,Inglewood,90303.0,,33.936291,-118.332639
8350-NYMVI,1.0,United States,,Whittier,90602.0,"33.972119, -118.020188",,-118.020188
3458-IDMFK,1.0,United States,California,Los Alamitos,90720.0,"33.79499, -118.065591",,-118.065591
3709-OIJEA,1.0,United States,California,Sierra Madre,,"34.168686, -118.057505",34.168686,-118.057505
5066-GFJMM,1.0,United States,California,Pasadena,91106.0,"34.139402, -118.128658",,-118.128658
3006-XIMLN,1.0,United States,,Pasadena,91107.0,"34.159007, -118.087353",34.159007,-118.087353
6648-INWPS,,United States,,North Hollywood,91605.0,"34.207295, -118.400022",34.207295,-118.400022
3196-NVXLZ,1.0,United States,California,,,"34.097345, -117.906736",34.097345,-117.906736
1730-VFMWO,1.0,United States,,Rowland Heights,91748.0,"33.976753, -117.897367",,-117.897367
6463-HHXJR,1.0,United States,California,Alpine,91901.0,"32.827184, -116.703729",32.827184,-116.703729
9450-TRJUU,1.0,,California,San Diego,92122.0,"32.85723, -117.209754",32.85723,-117.209774
6718-BDGHG,1.0,United States,California,San Diego,92122.0,"32.85723, -117.209756",32.85723,-117.209774
4981-FLTMF,1.0,United States,California,San Diego,,,32.85723,-117.209774
3522-CDKHF,1.0,United States,California,San Diego,92122.0,"32.85723, -117.209760",32.85723,-117.209774
9351-LZYGF,1.0,United States,California,San Diego,92122.0,"32.85723, -117.209761",32.85723,-117.209774
8999-XXGNS,,United States,California,,92122.0,"32.85723, -117.209762",,-117.209774
8443-WVPSS,,United States,California,San Diego,92122.0,"32.85723, -117.209770",32.85723,-117.209774
9540-JYROE,1.0,United States,California,San Diego,92122.0,"32.85723, -117.209772",32.85723,-117.209774
7401-RUBNK,1.0,United States,California,San Diego,92122.0,"32.85723, -117.209779",32.85723,-117.209774
9609-BENEA,1.0,United States,California,Thermal,92274.0,"33.53604, -116.119222",33.53604,
0479-HMSWA,1.0,United States,California,Hemet,92544.0,"33.644585, -116.871544",33.644585,
