,Customer ID,Count_x,Gender,Age,Under 30,Senior Citizen,Married,Dependents,Number of Dependents,Count_y,Country,State,City,Zip Code,Lat Long,Latitude,Longitude,Satisfaction Score,Count,Quarter,Referred a Friend,Number of Referrals,Tenure in Months,Offer,Phone Service,Avg Monthly Long Distance Charges,Multiple Lines,Internet Service,Internet Type,Avg Monthly GB Download,Online Security,Online Backup,Device Protection Plan,Premium Tech Support,Streaming TV,Streaming Movies,Streaming Music,Unlimited Data,Contract,Paperless Billing,Payment Method,Monthly Charge,Total Charges,Total Refunds,Total Extra Data Charges,Total Long Distance Charges,Total Revenue,Churn Category
0,0650-BWOZN,,,,,,,,,,,,,,,,,1.0,1.0,Q3,No,0.0,35.0,None,Yes,,No,Yes,Fiber Optic,16.0,No,,Yes,No,Yes,,No,Yes,One Year,Yes,Bank Withdrawal,85.15,3030.6,0.0,0.0,892.85,3923.45,Competitor
1,0562-FGDCR,1.0,,54.0,No,No,No,No,0.0,1.0,,California,Rosamond,93560.0,"34.903052, -118.411251",34.903052,-118.41125100000001,1.0,1.0,Q3,No,0.0,1.0,Offer E,,0.0,,,Cable,29.0,No,No,No,No,No,Yes,Yes,Yes,Month-to-Month,No,,35.9,35.9,0.0,0.0,0.0,35.9,Competitor
2,6688-UZPWD,1.0,Male,,Yes,No,,Yes,,1.0,United States,,Huntington Beach,92649.0,"33.721917, -118.043237",33.721917,-118.043237,,1.0,Q3,Yes,4.0,35.0,Offer C,Yes,41.02,No,No,None,,No,No,No,No,,No,No,No,One Year,,Bank Withdrawal,20.05,746.75,,0.0,1435.7,2182.45,No Churn
3,2905-KFQUV,1.0,Male,23.0,Yes,No,No,No,0.0,1.0,United States,California,San Jose,95129.0,"37.305622, -122.000887",,-122.000887,3.0,1.0,Q3,No,0.0,7.0,Offer E,Yes,21.58,No,,Fiber Optic,71.0,No,No,Yes,,,,Yes,No,Month-to-Month,,,74.65,544.55,0.0,10.0,,705.6099999999999,Competitor
4,9720-JJJOR,,,,,,,,,,,,,,,,,,1.0,Q3,Yes,8.0,68.0,,Yes,17.12,Yes,No,None,0.0,No,No,No,,No,No,No,No,Two Year,No,Credit Card,25.8,1911.5,0.0,,1164.16,3075.66,No Churn
5,5236-PERKL,,,,,,,,,,,,,,,,,,1.0,,No,0.0,2.0,,Yes,,,Yes,Cable,27.0,No,No,,No,Yes,No,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,85.65,181.5,0.0,0.0,80.86,262.36,Competitor
6,8200-LGKSR,1.0,Male,33.0,No,No,No,No,0.0,1.0,United States,California,Los Angeles,90047.0,,33.958149,-118.30844099999999,3.0,1.0,,No,0.0,36.0,Offer C,Yes,8.5,No,,None,0.0,No,No,No,No,No,No,No,No,Two Year,Yes,Credit Card,18.55,689.0,,0.0,306.0,995.0,No Churn
7,3279-DYZQM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No Churn
8,3996-ZNWYK,,,,,,,,,1.0,United States,California,Pacoima,91331.0,"34.255442, -118.421314",,-118.421314,3.0,1.0,Q3,Yes,10.0,16.0,None,Yes,20.12,No,Yes,,30.0,Yes,Yes,No,Yes,No,Yes,,Yes,Two Year,No,Bank Withdrawal,68.25,1114.85,0.0,0.0,321.92,1436.77,No Churn
9,9500-LTVBP,1.0,Female,46.0,,No,Yes,No,,1.0,United States,California,Pacifica,,"37.573633, -122.455167",37.573633,-122.45516699999999,3.0,,Q3,Yes,3.0,,None,Yes,25.09,Yes,Yes,,17.0,Yes,,Yes,No,Yes,Yes,Yes,,One Year,No,Bank Withdrawal,78.85,876.75,0.0,0.0,301.08,1177.83,No Churn
