,Customer ID,Gender,Age,Under 30,Senior Citizen,Married,Dependents,Number of Dependents,Satisfaction Score,Referred a Friend,Number of Referrals,Tenure in Months,Offer,Phone Service,Avg Monthly Long Distance Charges,Multiple Lines,Internet Service,Internet Type,Avg Monthly GB Download,Online Security,Online Backup,Device Protection Plan,Premium Tech Support,Streaming TV,Streaming Movies,Streaming Music,Unlimited Data,Contract,Paperless Billing,Payment Method,Monthly Charge,Total Charges,Total Refunds,Total Extra Data Charges,Total Long Distance Charges,Total Revenue,Churn Category
0,0650-BWOZN,1,46.624197983501375,0,0,0,0,0,0,0,0,35.0,0,1,23.006725581395354,0,1,2,16.0,0,0,1,0,1,0,0,1,1,1,0,85.15,3030.6,0.0,0.0,892.85,3923.45,1
1,0562-FGDCR,1,54.0,0,0,0,0,0,0,0,0,1.0,5,1,0.0,0,1,0,29.0,0,0,0,0,0,1,1,1,0,0,0,35.9,35.9,0.0,0.0,0.0,35.9,1
2,6688-UZPWD,1,46.624197983501375,1,0,0,1,0,2,1,4,35.0,3,1,41.02,0,0,3,20.323666978484564,0,0,0,0,0,0,0,0,1,1,0,20.05,746.75,2.0400186451211937,0.0,1435.7,2182.45,3
3,2905-KFQUV,1,23.0,1,0,0,0,0,2,0,0,7.0,5,1,21.58,0,1,2,71.0,0,0,1,0,0,0,1,0,0,1,0,74.65,544.55,0.0,10.0,751.942966389144,705.6099999999999,1
4,9720-JJJOR,1,46.624197983501375,0,0,0,0,0,2,1,8,68.0,0,1,17.12,1,0,3,0.0,0,0,0,0,0,0,0,0,2,0,1,25.8,1911.5,0.0,6.506550218340611,1164.16,3075.66,3
5,5236-PERKL,1,46.624197983501375,0,0,0,0,0,2,0,0,2.0,0,1,23.006725581395354,0,1,0,27.0,0,0,0,0,1,0,1,1,0,1,0,85.65,181.5,0.0,0.0,80.86,262.36,1
6,8200-LGKSR,1,33.0,0,0,0,0,0,2,0,0,36.0,3,1,8.5,0,1,3,0.0,0,0,0,0,0,0,0,0,2,1,1,18.55,689.0,2.0400186451211937,0.0,306.0,995.0,3
7,3279-DYZQM,1,46.624197983501375,0,0,0,0,0,2,0,0,32.40104486785495,0,1,23.006725581395354,0,1,2,20.323666978484564,0,0,0,0,0,0,0,1,0,1,0,64.19761171032337,2259.597129112353,2.0400186451211937,6.506550218340611,751.942966389144,3025.3811100803964,3
8,3996-ZNWYK,1,46.624197983501375,0,0,0,0,0,2,1,10,16.0,0,1,20.12,0,1,2,30.0,1,1,0,1,0,1,0,1,2,0,0,68.25,1114.85,0.0,0.0,321.92,1436.77,3
9,9500-LTVBP,0,46.0,0,0,1,0,0,2,1,3,32.40104486785495,0,1,25.09,1,1,2,17.0,1,0,1,0,1,1,1,1,1,0,0,78.85,876.75,0.0,0.0,301.08,1177.83,3
10,5229-PRWKT,1,46.624197983501375,0,0,0,0,0,2,0,0,32.40104486785495,0,1,23.006725581395354,0,1,2,20.323666978484564,0,0,0,0,0,0,0,1,0,1,0,64.19761171032337,2259.597129112353,2.0400186451211937,6.506550218340611,751.942966389144,3025.3811100803964,3
