Customer ID,Count,Quarter,Referred a Friend,Number of Referrals,Tenure in Months,Offer,Phone Service,Avg Monthly Long Distance Charges,Multiple Lines,Internet Service,Internet Type,Avg Monthly GB Download,Online Security,Online Backup,Device Protection Plan,Premium Tech Support,Streaming TV,Streaming Movies,Streaming Music,Unlimited Data,Contract,Paperless Billing,Payment Method,Monthly Charge,Total Charges,Total Refunds,Total Extra Data Charges,Total Long Distance Charges,Total Revenue
1746-TGTWV,1.0,Q3,No,0.0,1.0,None,No,0.0,No,Yes,DSL,8.0,No,No,,No,No,Yes,No,No,Month-to-Month,Yes,Bank Withdrawal,39.65,,0.0,20.0,0.0,59.65
8499-BRXTD,1.0,Q3,Yes,1.0,8.0,Offer E,,48.85,Yes,Yes,Fiber Optic,17.0,No,Yes,No,No,No,No,No,Yes,Month-to-Month,Yes,,80.65,633.3,0.0,0.0,390.8,1024.1
5832-EXGTT,1.0,Q3,Yes,1.0,25.0,Offer C,,19.76,No,Yes,,12.0,No,Yes,Yes,,Yes,Yes,,Yes,Month-to-Month,Yes,Bank Withdrawal,98.5,2514.5,,0.0,494.00000000000006,2995.07
8350-NYMVI,1.0,Q3,Yes,1.0,37.0,Offer C,Yes,6.33,,Yes,Fiber Optic,,No,,,No,,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,76.5,2868.15,0.0,0.0,234.21,3102.36
7284-BUYEC,1.0,,No,0.0,27.0,Offer C,Yes,3.33,Yes,Yes,Fiber Optic,18.0,No,No,,No,No,No,No,No,Month-to-Month,Yes,Bank Withdrawal,78.05,2135.5,,10.0,89.91,2235.41
3458-IDMFK,1.0,Q3,Yes,1.0,1.0,Offer E,Yes,,,Yes,Fiber Optic,30.0,,No,No,No,No,No,No,Yes,Month-to-Month,Yes,Mailed Check,70.45,70.45,0.0,0.0,15.28,85.73
3709-OIJEA,1.0,Q3,Yes,6.0,58.0,Offer B,No,0.0,,Yes,DSL,24.0,No,Yes,Yes,No,No,Yes,No,Yes,Month-to-Month,Yes,Bank Withdrawal,45.3,2651.2,40.95,0.0,0.0,2610.25
3006-XIMLN,1.0,Q3,No,0.0,7.0,Offer E,,26.95,No,Yes,,18.0,Yes,No,No,No,No,No,No,No,Month-to-Month,No,Bank Withdrawal,,503.6,11.05,,188.65,681.2
3196-NVXLZ,,Q3,No,0.0,,Offer D,Yes,29.11,No,Yes,Fiber Optic,29.0,No,Yes,,No,No,No,No,,Month-to-Month,Yes,,,1074.3,,0.0,436.65,1510.9499999999998
5939-SXWHM,1.0,Q3,Yes,1.0,1.0,Offer E,,0.0,No,Yes,DSL,12.0,No,Yes,No,No,Yes,No,No,Yes,Month-to-Month,No,Bank Withdrawal,40.2,40.2,0.0,0.0,0.0,40.2
4450-MDZFX,1.0,Q3,No,0.0,3.0,Offer E,No,0.0,No,Yes,DSL,28.0,No,No,Yes,No,No,Yes,,,Month-to-Month,Yes,,41.15,,0.0,0.0,0.0,132.2
1730-VFMWO,1.0,,,0.0,13.0,Offer D,Yes,32.68,Yes,,Cable,11.0,No,Yes,Yes,,Yes,Yes,No,No,Month-to-Month,Yes,Bank Withdrawal,,1364.3,0.0,10.0,424.84,1799.1399999999999
7037-MTYVW,1.0,Q3,No,0.0,16.0,,Yes,,No,Yes,Fiber Optic,9.0,No,No,,Yes,Yes,Yes,Yes,Yes,Month-to-Month,,Bank Withdrawal,94.45,1511.2,0.0,0.0,150.88,1662.08
6463-HHXJR,1.0,,No,0.0,8.0,,Yes,1.78,No,Yes,Fiber Optic,7.0,No,Yes,No,No,No,No,No,Yes,Month-to-Month,Yes,,74.5,606.55,0.0,0.0,14.24,
6718-BDGHG,1.0,Q3,No,0.0,4.0,Offer E,Yes,31.61,Yes,Yes,,2.0,No,No,No,No,Yes,Yes,No,Yes,Month-to-Month,Yes,Bank Withdrawal,95.45,396.1,0.0,0.0,126.44,522.54
4981-FLTMF,1.0,Q3,Yes,2.0,32.0,Offer C,Yes,47.34,Yes,Yes,Fiber Optic,10.0,No,,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,74.9,2303.35,0.0,0.0,1514.88,3818.23
3522-CDKHF,1.0,Q3,Yes,1.0,24.0,Offer C,Yes,16.1,No,Yes,,12.0,No,No,Yes,No,Yes,,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,93.15,2231.05,0.0,0.0,386.40000000000003,2617.4500000000003
8999-XXGNS,1.0,Q3,No,0.0,2.0,Offer E,Yes,13.17,No,Yes,Fiber Optic,,No,No,No,No,No,No,No,,Month-to-Month,Yes,Bank Withdrawal,70.35,139.05,0.0,0.0,26.34,165.39000000000001
8443-WVPSS,1.0,Q3,No,0.0,21.0,None,No,,No,Yes,Cable,8.0,Yes,No,No,No,,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,41.9,,0.0,0.0,0.0,840.1
4615-PIVVU,1.0,Q3,,1.0,11.0,None,Yes,29.54,No,No,None,0.0,No,,No,,No,No,No,,Month-to-Month,No,Mailed Check,19.95,214.75,0.0,0.0,324.94,539.69
7401-RUBNK,1.0,Q3,Yes,2.0,55.0,Offer B,,42.82,Yes,Yes,Fiber Optic,27.0,No,,Yes,No,No,No,No,No,Month-to-Month,Yes,,85.45,4874.7,0.0,90.0,2355.1,7319.799999999999
5701-GUXDC,,Q3,No,0.0,3.0,Offer E,,9.22,Yes,Yes,Fiber Optic,14.0,,Yes,No,No,,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,81.35,233.7,0.0,0.0,27.660000000000004,261.36
1723-HKXJQ,1.0,Q3,No,0.0,5.0,Offer E,No,0.0,No,,DSL,26.0,No,Yes,No,No,,No,No,Yes,Month-to-Month,,Bank Withdrawal,28.45,131.05,0.0,0.0,0.0,131.05
0479-HMSWA,1.0,Q3,No,0.0,20.0,None,Yes,48.73,,Yes,,12.0,No,Yes,Yes,No,No,Yes,No,,,,Bank Withdrawal,94.1,1782.4,0.0,,974.5999999999999,2837.0
0027-KWYKW,,Q3,Yes,4.0,5.0,,Yes,45.76,Yes,Yes,Fiber Optic,22.0,No,No,No,No,No,,No,Yes,Month-to-Month,Yes,Bank Withdrawal,74.35,334.8,0.0,,228.79999999999998,563.6
7750-EYXWZ,1.0,Q3,Yes,2.0,,,Yes,,No,Yes,Cable,25.0,Yes,No,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,,1929.35,0.0,,189.54,2118.89
2014-MKGMH,1.0,Q3,No,0.0,4.0,None,,48.35,Yes,,Cable,24.0,No,No,Yes,No,Yes,No,,Yes,Month-to-Month,Yes,Bank Withdrawal,89.2,346.2,,0.0,193.4,539.6
3146-MSEGF,1.0,Q3,No,0.0,1.0,None,Yes,45.81,Yes,Yes,Fiber Optic,21.0,,,No,No,Yes,No,No,,Month-to-Month,Yes,Bank Withdrawal,85.7,85.7,0.0,0.0,45.81,131.51
7929-DMBCV,1.0,Q3,Yes,3.0,49.0,Offer B,Yes,,Yes,Yes,Fiber Optic,14.0,No,Yes,No,No,No,Yes,No,Yes,Month-to-Month,No,Credit Card,90.05,4547.25,0.0,0.0,,
3336-JORSO,1.0,Q3,Yes,1.0,43.0,Offer B,Yes,14.52,Yes,Yes,Fiber Optic,,No,,Yes,Yes,,Yes,No,,Month-to-Month,Yes,Bank Withdrawal,110.75,4687.9,0.0,0.0,624.36,5312.259999999999
3580-REOAC,1.0,Q3,No,0.0,56.0,Offer B,Yes,48.8,Yes,Yes,Fiber Optic,12.0,Yes,No,Yes,No,Yes,Yes,,Yes,One Year,Yes,Bank Withdrawal,104.55,5794.65,,0.0,,8527.449999999999
5614-DNZCE,1.0,Q3,Yes,7.0,20.0,None,Yes,,Yes,Yes,Fiber Optic,10.0,No,No,No,,Yes,Yes,,Yes,Month-to-Month,Yes,Bank Withdrawal,94.55,1899.65,0.0,0.0,,2005.8500000000001
1845-CSBRZ,1.0,Q3,No,0.0,2.0,None,Yes,,Yes,Yes,Fiber Optic,19.0,,Yes,No,No,No,Yes,,,Month-to-Month,No,Bank Withdrawal,,161.5,0.0,0.0,,256.44
4334-HOWRP,1.0,Q3,No,0.0,8.0,None,Yes,27.95,No,No,None,0.0,No,No,,No,No,No,No,No,Month-to-Month,No,Bank Withdrawal,19.65,,0.0,0.0,,387.9
4906-ZHGPK,1.0,Q3,No,0.0,,None,,43.99,No,Yes,DSL,27.0,Yes,No,,No,,No,No,Yes,,Yes,Bank Withdrawal,49.25,91.1,0.0,0.0,87.98,179.07999999999998
7207-RMRDB,1.0,Q3,Yes,1.0,33.0,None,,27.78,Yes,Yes,,8.0,No,No,No,No,,,No,Yes,Month-to-Month,Yes,Bank Withdrawal,94.5,,0.0,0.0,,4022.29
1591-XWLGB,1.0,,No,0.0,30.0,,Yes,45.88,Yes,,Fiber Optic,19.0,Yes,Yes,Yes,No,No,No,No,Yes,Month-to-Month,No,Credit Card,91.7,2758.15,,0.0,1376.4,4134.55
2424-WVHPL,1.0,Q3,No,0.0,20.0,None,Yes,44.44,Yes,,Fiber Optic,13.0,No,No,Yes,No,Yes,Yes,No,No,Month-to-Month,Yes,Bank Withdrawal,98.55,1842.8,0.0,120.0,,2851.6
4342-HFXWS,1.0,Q3,No,,,None,Yes,2.37,Yes,Yes,,20.0,Yes,Yes,,No,Yes,Yes,,Yes,One Year,Yes,Bank Withdrawal,110.0,4874.8,0.0,0.0,109.02000000000001,4983.820000000001
1866-NXPSP,1.0,Q3,,1.0,7.0,None,Yes,21.91,Yes,Yes,Cable,11.0,No,,No,,Yes,Yes,No,Yes,Month-to-Month,Yes,Bank Withdrawal,95.6,644.35,,,153.37,797.72
2135-DQWAQ,1.0,Q3,No,0.0,4.0,None,Yes,36.93,No,Yes,Fiber Optic,,No,,No,No,Yes,No,No,Yes,Month-to-Month,Yes,,78.85,292.8,0.0,0.0,147.72,440.52
8207-VVMYB,1.0,Q3,No,,55.0,,Yes,37.38,Yes,Yes,,7.0,,No,Yes,No,Yes,Yes,Yes,No,One Year,Yes,Bank Withdrawal,100.0,5509.3,0.0,100.0,,7665.200000000001
7469-LKBCI,1.0,Q3,Yes,1.0,20.0,None,Yes,5.37,No,Yes,Fiber Optic,24.0,,Yes,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,73.65,1463.5,0.0,0.0,107.4,1570.9
5016-ETTFF,1.0,Q3,No,0.0,9.0,None,Yes,48.71,Yes,Yes,,,No,No,Yes,No,Yes,Yes,Yes,,Month-to-Month,Yes,Bank Withdrawal,100.5,918.6,0.0,0.0,438.39,1356.99
9115-YQHGA,1.0,Q3,No,0.0,10.0,None,Yes,5.46,No,Yes,Fiber Optic,24.0,No,Yes,No,,No,No,No,No,Month-to-Month,Yes,Bank Withdrawal,72.85,688.65,,30.0,54.6,773.25
5792-JALQC,1.0,Q3,No,0.0,1.0,None,Yes,36.92,Yes,Yes,Fiber Optic,6.0,No,No,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,,73.55,0.0,,36.92,110.47
0570-BFQHT,,Q3,No,0.0,3.0,None,Yes,41.9,Yes,Yes,Fiber Optic,11.0,,Yes,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,79.4,205.05,0.0,0.0,125.69999999999999,330.75
8800-JOOCF,,Q3,No,0.0,4.0,None,Yes,6.68,Yes,Yes,Cable,17.0,No,No,No,No,No,Yes,No,Yes,Month-to-Month,Yes,Bank Withdrawal,84.6,360.1,0.0,0.0,26.72,386.82000000000005
