Customer ID,Churn Category
0650-BWOZN,Competitor
0562-FGDCR,Competitor
6688-UZPWD,No Churn
2905-KFQUV,Competitor
9720-JJJOR,No Churn
5236-PERKL,Competitor
8200-LGKSR,No Churn
3279-DYZQM,No Churn
3996-ZNWYK,No Churn
9500-LTVBP,No Churn
5229-PRWKT,No Churn
1764-VUUMT,Dissatisfaction
7531-GQHME,No Churn
4377-VDHYI,No Churn
7516-GMHUV,No Churn
5197-PYEPU,Competitor
2120-SMPEX,Dissatisfaction
0496-AHOOK,Competitor
2805-AUFQN,No Churn
0841-NULXI,No Churn
0263-FJTQO,No Churn
3280-NMUVX,No Churn
1820-TQVEV,No Churn
1100-DDVRV,No Churn
9779-DPNEJ,No Churn
8409-WQJUX,No Churn
7493-TPUWZ,No Churn
1135-HIORI,No Churn
6230-BSUXY,Competitor
9667-EQRXU,No Churn
2014-MKGMH,Competitor
7207-RMRDB,Other
1934-SJVJK,No Churn
7077-XJMET,No Churn
2452-KDRRH,No Churn
7351-MHQVU,Price
8631-XVRZL,No Churn
3143-ILDAL,Attitude
4797-AXPXK,No Churn
6164-HAQTX,No Churn
0526-SXDJP,No Churn
3671-SHRSP,No Churn
6101-IMRMM,Price
7131-ZQZNK,No Churn
1775-KWJKQ,No Churn
4078-SAYYN,Competitor
9774-NRNAU,No Churn
2123-AGEEN,No Churn
0742-MOABM,Attitude
5884-GCYMI,No Churn
3452-GWUIN,No Churn
6713-OKOMC,No Churn
9039-ZVJDC,No Churn
8701-DGLVH,No Churn
8630-FJLIB,No Churn
1850-AKQEP,No Churn
8313-NDOIA,No Churn
2703-AMTUL,No Churn
5789-LDFXO,Dissatisfaction
4522-AKYLR,No Churn
2121-JAFOM,No Churn
1732-FEKLD,No Churn
6860-YRJZP,No Churn
8070-AAWZP,No Churn
5067-XJQFU,No Churn
4847-QNOKA,No Churn
0807-ZABDG,No Churn
7233-IOQNP,No Churn
1384-RCUXW,No Churn
9968-FFVVH,No Churn
7989-CHGTL,Price
8096-LOIST,No Churn
5364-EVNIB,No Churn
4789-KWMXN,No Churn
1084-UQCHV,No Churn
0788-DXBFY,No Churn
6791-YBNAK,Dissatisfaction
4837-QUSFT,No Churn
5948-UJZLF,No Churn
0913-XWSCN,No Churn
1934-MKPXS,No Churn
6435-VWCCY,No Churn
0402-CQAJN,Dissatisfaction
2359-KMGLI,Dissatisfaction
9391-EOYLI,No Churn
7356-AYNJP,Attitude
7892-POOKP,No Churn
8050-XGRVL,No Churn
8755-OGKNA,Competitor
1818-ESQMW,No Churn
9133-AYJZG,Competitor
7814-LEEVE,No Churn
6022-UGGSO,No Churn
7446-YPODE,No Churn
8399-YNDCH,No Churn
5196-WPYOW,No Churn
0856-NAOES,No Churn
2999-AANRQ,No Churn
7714-YXSMB,No Churn
3541-ZNUHK,No Churn
7089-IVVAZ,No Churn
7817-BOQPW,No Churn
8496-EJAUI,Dissatisfaction
8059-UDZFY,No Churn
9643-YBLUR,Competitor
4829-ZLJTK,Other
6176-YJWAS,Price
7480-QNVZJ,Dissatisfaction
9441-QHEVC,Competitor
8751-EDEKA,No Churn
4530-NDRKU,Other
7392-YYPYJ,No Churn
3096-WPXBT,No Churn
1725-IQNIY,No Churn
6173-ITPWD,No Churn
1730-ZMAME,No Churn
4654-ULTTN,No Churn
4137-JOPHL,No Churn
8221-EQDGL,No Churn
4635-EJYPD,No Churn
5012-YSPJJ,No Churn
5143-WMWOG,No Churn
8201-AAXCB,No Churn
6198-PNNSZ,No Churn
6140-QNRQQ,No Churn
9927-DSWDF,Competitor
6583-KQJLK,No Churn
6064-PUPMC,Competitor
7825-ECJRF,No Churn
8713-IGZSO,No Churn
5451-YHYPW,No Churn
1090-ESELR,Attitude
5882-CMAZQ,Competitor
1356-MKYSK,Competitor
2933-FILNV,No Churn
4566-NECEV,No Churn
5986-WWXDV,No Churn
3620-EHIMZ,No Churn
7534-BFESC,No Churn
4816-LXZYW,Competitor
4940-KHCWD,No Churn
0430-IHCDJ,No Churn
2239-CFOUJ,Competitor
3359-DSRKA,No Churn
2400-XIWIO,Price
2040-OBMLJ,No Churn
5073-WXOYN,No Churn
3978-YNKDD,No Churn
0322-YINQP,No Churn
9866-OCCKE,No Churn
6365-MTGZX,No Churn
4274-DRSQT,No Churn
2504-DSHIH,No Churn
5876-HZVZM,No Churn
2294-DMMUS,Competitor
6195-MELTI,Dissatisfaction
1429-UYJSV,Competitor
9283-LZQOH,No Churn
7162-WPHPM,Attitude
7890-VYYWG,Attitude
